32291:118893,40755,54862,1102,354,224,226,542,81,564
23514:24933,669,11072,8322,16965,30815,6856,51232,13077,15013
23907:84675,16903,43043,39331,31223,87725,68416,80071,87786,45413
27313:2021,113328,66298,5571,30600,108642,101877,107956,102444,113325
28885:354,1102,224,226,542,518,564,650,70,81
36221:94241,82719,963,224,354,226,542,1102,81,518
43557:1494,3013,5538,1109,16531,65962,22799,46613,38509,2081
46570:73387,25232,44883,111088,2513,10016,542,1102,226,354
45129:115919,2848,115501,122846,115968,115193,110933,114494,114605,111691
42313:3502,20322,45770,15318,866,78415,48202,63861,120964,111765
36418:580,68687,85780,1102,224,226,354,542,81,650
25021:60163,11127,90827,120521,542,354,224,226,1102,518
28558:61657,5495,8725,103566,49866,119038,120439,118822,118681,119221
52007:71669,81621,119535,1102,226,224,354,542,650,70
47815:20032,56944,14474,15204,12366,11873,33870,21383,24969,34004
27510:354,1102,224,226,542,518,564,650,70,81
46767:24933,669,11072,8322,16965,30815,6856,51232,13077,15013
27052:38945,224,1102,354,226,542,518,564,650,70
9498:4926,224,226,354,542,1102,81,564,70,518
52466:68669,23205,224,226,1102,354,542,81,518,70
24825:354,1102,224,226,542,518,564,650,70,81
51615:354,1102,224,226,542,518,564,650,70,81
26856:354,1102,224,226,542,518,564,650,70,81
48406:39351,1102,354,224,226,542,650,564,518,81
27250:59626,23288,22150,69100,8767,72144,97436,101001,102490,98045
52140:93525,224,226,354,542,1102,81,564,70,518
52533:116992,67025,21210,61214,110573,542,224,1102,354,226
22862:116032,94017,85630,95432,2405,52395,39911,23215,11935,542
14347:22620,105304,1102,224,226,542,354,564,650,70
33866:22353,20325,17191,29221,76,114365,115818,114665,95042,29592
47883:354,1102,224,226,542,518,564,650,70,81
24827:1167,224,1102,226,354,542,650,564,518,70
17426:16350,1102,354,224,226,542,650,564,518,81
20439:22353,20325,17191,29221,76,114365,115818,114665,95042,29592
19129:8342,1102,354,224,226,542,650,564,518,81
28496:378,20167,64982,11535,858,18699,29078,11078,11196,8717
46050:8683,3191,32320,7029,9789,24012,8463,15667,16251,39400
44740:78838,90294,83071,29159,21738,18644,123318,51786,226,542
